GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
testes_automatizados_carros_alunos,default,Main,4,0,0,0,2,0,2,0,2,0
testes_automatizados_carros_alunos,service,CarroServiceImpl,72,0,10,0,23,0,11,0,6,0
testes_automatizados_carros_alunos,service,GPSFake,4,0,0,0,2,0,2,0,2,0
testes_automatizados_carros_alunos,model,Carro,152,0,12,0,40,0,24,0,18,0
